Log file created at  2019-04-22 23:06:17
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=100, K_Shot_MetaTrain=100, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='NewBoundSeeger', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='CIFAR100', data_transform='None', limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.0, mode='MetaTrain', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=50, n_train_tasks=1, result_dir='saved/CIFAR100__comp_NewBoundSeeger_ntr_1_nte_50_task-w_0.01_meta-w_0', run_name='CIFAR100__comp_NewBoundSeeger_ntr_1_nte_50_task-w_0.01_meta-w_0', seed=1, task_complex_w=0.01, test_batch_size=128)
--------------------------------------------------
--- Generating 1 training-tasks
Stochastic-CIFARNet
---- Meta-Training set: 1 tasks
Run finished at:  2019-04-22 23:08:58
MaxPosterior Average Test Error: 21.0%	 Runtime: 152.43599363975227 [sec]
Trained prior saved in saved/CIFAR100__comp_NewBoundSeeger_ntr_1_nte_50_task-w_0.01_meta-w_0/model.pt
---- Generating 50 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.663 	  Acc: 0.0625	 Empiric Loss: 1.66	 Intra-Comp. 0.2396
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 1.225 	  Acc: 0.562	 Empiric Loss: 1.223	 Intra-Comp. 0.2095
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 0.6742 	  Acc: 0.75	 Empiric Loss: 0.6726	 Intra-Comp. 0.1624
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 0.9773 	  Acc: 0.562	 Empiric Loss: 0.9754	 Intra-Comp. 0.19
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 0.5679 	  Acc: 0.812	 Empiric Loss: 0.5664	 Intra-Comp. 0.1513
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.6256 	  Acc: 0.812	 Empiric Loss: 0.624	 Intra-Comp. 0.1574
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 0.5835 	  Acc: 0.812	 Empiric Loss: 0.582	 Intra-Comp. 0.153
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.5256 	  Acc: 0.75	 Empiric Loss: 0.5241	 Intra-Comp. 0.1466
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.7094 	  Acc: 0.75	 Empiric Loss: 0.7078	 Intra-Comp. 0.1659
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.2458 	  Acc: 0.938	 Empiric Loss: 0.2448	 Intra-Comp. 0.1088
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.2409 	  Acc: 1.0	 Empiric Loss: 0.2399	 Intra-Comp. 0.108
(27.5%)	Epoch: 11 	 Batch: 0 	 Objective: 0.3243 	  Acc: 0.875	 Empiric Loss: 0.3231	 Intra-Comp. 0.1209
(30.0%)	Epoch: 12 	 Batch: 0 	 Objective: 0.07231 	  Acc: 1.0	 Empiric Loss: 0.0716	 Intra-Comp. 0.07132
(32.5%)	Epoch: 13 	 Batch: 0 	 Objective: 0.1382 	  Acc: 1.0	 Empiric Loss: 0.1373	 Intra-Comp. 0.0883
(35.0%)	Epoch: 14 	 Batch: 0 	 Objective: 0.4423 	  Acc: 0.812	 Empiric Loss: 0.4409	 Intra-Comp. 0.1367
(37.5%)	Epoch: 15 	 Batch: 0 	 Objective: 0.3108 	  Acc: 0.875	 Empiric Loss: 0.3096	 Intra-Comp. 0.119
(40.0%)	Epoch: 16 	 Batch: 0 	 Objective: 0.03687 	  Acc: 1.0	 Empiric Loss: 0.03628	 Intra-Comp. 0.05861
(42.5%)	Epoch: 17 	 Batch: 0 	 Objective: 0.02506 	  Acc: 1.0	 Empiric Loss: 0.02453	 Intra-Comp. 0.05303
(45.0%)	Epoch: 18 	 Batch: 0 	 Objective: 0.01147 	  Acc: 1.0	 Empiric Loss: 0.01102	 Intra-Comp. 0.04451
(47.5%)	Epoch: 19 	 Batch: 0 	 Objective: 0.01187 	  Acc: 1.0	 Empiric Loss: 0.01142	 Intra-Comp. 0.04483
(50.0%)	Epoch: 20 	 Batch: 0 	 Objective: 0.1115 	  Acc: 0.938	 Empiric Loss: 0.1107	 Intra-Comp. 0.08207
(52.5%)	Epoch: 21 	 Batch: 0 	 Objective: 0.1159 	  Acc: 0.938	 Empiric Loss: 0.1151	 Intra-Comp. 0.08315
(55.0%)	Epoch: 22 	 Batch: 0 	 Objective: 0.001543 	  Acc: 1.0	 Empiric Loss: 0.001213	 Intra-Comp. 0.03295
(57.5%)	Epoch: 23 	 Batch: 0 	 Objective: 0.001987 	  Acc: 1.0	 Empiric Loss: 0.001648	 Intra-Comp. 0.0339
(60.0%)	Epoch: 24 	 Batch: 0 	 Objective: 0.001928 	  Acc: 1.0	 Empiric Loss: 0.00159	 Intra-Comp. 0.03378
(62.5%)	Epoch: 25 	 Batch: 0 	 Objective: 0.001925 	  Acc: 1.0	 Empiric Loss: 0.001587	 Intra-Comp. 0.03377
(65.0%)	Epoch: 26 	 Batch: 0 	 Objective: 0.1069 	  Acc: 0.938	 Empiric Loss: 0.1061	 Intra-Comp. 0.08093
(67.5%)	Epoch: 27 	 Batch: 0 	 Objective: 0.002822 	  Acc: 1.0	 Empiric Loss: 0.002468	 Intra-Comp. 0.0354
(70.0%)	Epoch: 28 	 Batch: 0 	 Objective: 0.001559 	  Acc: 1.0	 Empiric Loss: 0.001229	 Intra-Comp. 0.03299
(72.5%)	Epoch: 29 	 Batch: 0 	 Objective: 0.002427 	  Acc: 1.0	 Empiric Loss: 0.00208	 Intra-Comp. 0.03473
(75.0%)	Epoch: 30 	 Batch: 0 	 Objective: 0.001358 	  Acc: 1.0	 Empiric Loss: 0.001033	 Intra-Comp. 0.03251
(77.5%)	Epoch: 31 	 Batch: 0 	 Objective: 0.0007842 	  Acc: 1.0	 Empiric Loss: 0.0004762	 Intra-Comp. 0.0308
(80.0%)	Epoch: 32 	 Batch: 0 	 Objective: 0.1031 	  Acc: 0.938	 Empiric Loss: 0.1023	 Intra-Comp. 0.07997
(82.5%)	Epoch: 33 	 Batch: 0 	 Objective: 0.002042 	  Acc: 1.0	 Empiric Loss: 0.001702	 Intra-Comp. 0.03401
(85.0%)	Epoch: 34 	 Batch: 0 	 Objective: 0.001422 	  Acc: 1.0	 Empiric Loss: 0.001096	 Intra-Comp. 0.03266
