Log file created at  2019-04-22 23:07:35
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=100, K_Shot_MetaTrain=100, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='NewBoundSeeger', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='CIFAR100', data_transform='None', limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.0, mode='MetaTrain', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=50, n_train_tasks=5, result_dir='saved/CIFAR100__comp_NewBoundSeeger_ntr_5_nte_50_task-w_0.01_meta-w_0.0', run_name='CIFAR100__comp_NewBoundSeeger_ntr_5_nte_50_task-w_0.01_meta-w_0.0', seed=1, task_complex_w=0.01, test_batch_size=128)
--------------------------------------------------
--- Generating 5 training-tasks
Stochastic-CIFARNet
---- Meta-Training set: 5 tasks
Run finished at:  2019-04-22 23:20:05
MaxPosterior Average Test Error: 28.1%	 Runtime: 734.5073971990496 [sec]
Trained prior saved in saved/CIFAR100__comp_NewBoundSeeger_ntr_5_nte_50_task-w_0.01_meta-w_0.0/model.pt
---- Generating 50 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.595 	  Acc: 0.312	 Empiric Loss: 1.592	 Intra-Comp. 0.2352
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 1.229 	  Acc: 0.5	 Empiric Loss: 1.227	 Intra-Comp. 0.2098
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 0.839 	  Acc: 0.688	 Empiric Loss: 0.8372	 Intra-Comp. 0.1781
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 0.9999 	  Acc: 0.688	 Empiric Loss: 0.998	 Intra-Comp. 0.1919
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 1.436 	  Acc: 0.5	 Empiric Loss: 1.434	 Intra-Comp. 0.2247
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.5096 	  Acc: 0.875	 Empiric Loss: 0.5082	 Intra-Comp. 0.1447
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 0.3342 	  Acc: 0.875	 Empiric Loss: 0.3329	 Intra-Comp. 0.1223
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.2884 	  Acc: 0.938	 Empiric Loss: 0.2872	 Intra-Comp. 0.1156
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.4382 	  Acc: 0.812	 Empiric Loss: 0.4369	 Intra-Comp. 0.1362
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.4704 	  Acc: 0.875	 Empiric Loss: 0.469	 Intra-Comp. 0.1401
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.4367 	  Acc: 0.812	 Empiric Loss: 0.4353	 Intra-Comp. 0.136
(27.5%)	Epoch: 11 	 Batch: 0 	 Objective: 0.2385 	  Acc: 0.875	 Empiric Loss: 0.2374	 Intra-Comp. 0.1076
