Log file created at  2019-04-23 10:54:32
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=100, K_Shot_MetaTrain=100, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='PAC_Bayes_Pentina', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='CIFAR100', data_transform='None', limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.0, mode='MetaTrain', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=50, n_train_tasks=9, result_dir='saved/CIFAR100__comp_PAC_Bayes_Pentina_ntr_9_nte_50_task-w_0.01_meta-w_0', run_name='CIFAR100__comp_PAC_Bayes_Pentina_ntr_9_nte_50_task-w_0.01_meta-w_0', seed=1, task_complex_w=0.01, test_batch_size=128)
--------------------------------------------------
--- Generating 9 training-tasks
Stochastic-CIFARNet
---- Meta-Training set: 9 tasks
Run finished at:  2019-04-23 11:14:04
MaxPosterior Average Test Error: 28.4%	 Runtime: 1150.2164172986522 [sec]
Trained prior saved in saved/CIFAR100__comp_PAC_Bayes_Pentina_ntr_9_nte_50_task-w_0.01_meta-w_0/model.pt
---- Generating 50 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.604 	  Acc: 0.25	 Empiric Loss: 1.604	 Intra-Comp. 0.0
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 0.8627 	  Acc: 0.688	 Empiric Loss: 0.8627	 Intra-Comp. 1.939e-05
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 0.7962 	  Acc: 0.688	 Empiric Loss: 0.7962	 Intra-Comp. 3.46e-05
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 0.6981 	  Acc: 0.688	 Empiric Loss: 0.6981	 Intra-Comp. 4.201e-05
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 0.8883 	  Acc: 0.625	 Empiric Loss: 0.8883	 Intra-Comp. 5.199e-05
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.1111 	  Acc: 1.0	 Empiric Loss: 0.1111	 Intra-Comp. 6.812e-05
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 0.9035 	  Acc: 0.75	 Empiric Loss: 0.9035	 Intra-Comp. 7.606e-05
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.4215 	  Acc: 0.812	 Empiric Loss: 0.4215	 Intra-Comp. 9.175e-05
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.5597 	  Acc: 0.75	 Empiric Loss: 0.5597	 Intra-Comp. 0.0001085
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.7005 	  Acc: 0.75	 Empiric Loss: 0.7005	 Intra-Comp. 0.0001172
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.3021 	  Acc: 0.875	 Empiric Loss: 0.3021	 Intra-Comp. 0.0001276
