Log file created at  2019-05-03 10:53:25
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=50, K_Shot_MetaTrain=50, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='NewBoundSeeger', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='CIFAR100', data_transform='None', limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.01, mode='MetaTrain', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=10, n_train_tasks=15, result_dir='saved_epoch/CIFAR100__comp_NewBoundSeeger_ntr_15_nte_10_task-w_0.01_meta-w_0.01', run_name='CIFAR100__comp_NewBoundSeeger_ntr_15_nte_10_task-w_0.01_meta-w_0.01', seed=1, task_complex_w=0.01, test_batch_size=128)
--------------------------------------------------
--- Generating 15 training-tasks
Stochastic-CIFARNet
---- Meta-Training set: 15 tasks
Run finished at:  2019-05-03 11:23:48
MaxPosterior Average Test Error: 36.4%	 Runtime: 1788.173300541006 [sec]
Trained prior saved in saved_epoch/CIFAR100__comp_NewBoundSeeger_ntr_15_nte_10_task-w_0.01_meta-w_0.01/model.pt
---- Generating 10 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
---------------------Test on Epoch_0------------------------
Meta-Testing task 1 out of 10...
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.62 	  Acc: 0.25	 Empiric Loss: 1.617	 Intra-Comp. 0.3405
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 0.8622 	  Acc: 0.75	 Empiric Loss: 0.8596	 Intra-Comp. 0.2622
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 1.052 	  Acc: 0.562	 Empiric Loss: 1.049	 Intra-Comp. 0.2842
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 1.052 	  Acc: 0.75	 Empiric Loss: 1.049	 Intra-Comp. 0.2843
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 0.997 	  Acc: 0.438	 Empiric Loss: 0.9942	 Intra-Comp. 0.2781
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.9618 	  Acc: 0.625	 Empiric Loss: 0.959	 Intra-Comp. 0.2741
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 1.052 	  Acc: 0.688	 Empiric Loss: 1.049	 Intra-Comp. 0.2843
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.6907 	  Acc: 0.688	 Empiric Loss: 0.6883	 Intra-Comp. 0.2401
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.4645 	  Acc: 0.812	 Empiric Loss: 0.4624	 Intra-Comp. 0.2061
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.6243 	  Acc: 0.75	 Empiric Loss: 0.622	 Intra-Comp. 0.2308
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.1694 	  Acc: 1.0	 Empiric Loss: 0.168	 Intra-Comp. 0.1447
(27.5%)	Epoch: 11 	 Batch: 0 	 Objective: 0.5454 	  Acc: 0.875	 Empiric Loss: 0.5432	 Intra-Comp. 0.219
