Log file created at  2019-05-16 18:48:41
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=50, K_Shot_MetaTrain=50, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='NewBoundSeeger', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='CIFAR100', data_transform='None', from_pretrain=1, limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.01, mode='LoadMetaModel', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=10, n_train_tasks=15, result_dir='saved_epoch/CIFAR100__comp_NewBoundSeeger_ntr_15_nte_10_task-w_0.01_meta-w_0.01_pre-1', run_name='CIFAR100__comp_NewBoundSeeger_ntr_15_nte_10_task-w_0.01_meta-w_0.01_pre-1', seed=1, task_complex_w=0.01, test_batch_size=128)
--------------------------------------------------
Pre-trained  prior loaded from saved_epoch/CIFAR100__comp_NewBoundSeeger_ntr_15_nte_10_task-w_0.01_meta-w_0.01_pre-1/model.pt
---- Generating 10 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
---------------------Test on Epoch_10------------------------
Meta-Testing task 1 out of 10...
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.832 	  Acc: 0.188	 Empiric Loss: 1.829	 Intra-Comp. 0.3588, w_kld 0.0, b_kld 0.0
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 0.7444 	  Acc: 0.812	 Empiric Loss: 0.7419	 Intra-Comp. 0.2473, w_kld 8.223e-05, b_kld 5.407e-05
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 0.621 	  Acc: 0.875	 Empiric Loss: 0.6187	 Intra-Comp. 0.2303, w_kld 0.000145, b_kld 9.432e-05
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 0.4815 	  Acc: 0.875	 Empiric Loss: 0.4794	 Intra-Comp. 0.2089, w_kld 0.0002028, b_kld 0.0001315
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 0.3486 	  Acc: 0.875	 Empiric Loss: 0.3468	 Intra-Comp. 0.1854, w_kld 0.0002623, b_kld 0.0001764
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.1941 	  Acc: 1.0	 Empiric Loss: 0.1926	 Intra-Comp. 0.1513, w_kld 0.0003203, b_kld 0.0001961
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 0.08278 	  Acc: 1.0	 Empiric Loss: 0.08161	 Intra-Comp. 0.1165, w_kld 0.0003789, b_kld 0.0002231
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.1202 	  Acc: 1.0	 Empiric Loss: 0.1189	 Intra-Comp. 0.1299, w_kld 0.0004373, b_kld 0.0002461
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.04185 	  Acc: 1.0	 Empiric Loss: 0.04088	 Intra-Comp. 0.09753, w_kld 0.0004864, b_kld 0.0002735
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.03373 	  Acc: 1.0	 Empiric Loss: 0.0328	 Intra-Comp. 0.09274, w_kld 0.0005314, b_kld 0.0002877
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.03538 	  Acc: 1.0	 Empiric Loss: 0.03444	 Intra-Comp. 0.09376, w_kld 0.0005684, b_kld 0.0002912
