Log file created at  2019-05-03 18:13:21
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=50, K_Shot_MetaTrain=50, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='NewBoundSeeger', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='CIFAR100', data_transform='None', from_pretrain=1, limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.01, mode='MetaTrain', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=10, n_train_tasks=9, result_dir='saved_epoch/CIFAR100__comp_NewBoundSeeger_ntr_9_nte_10_task-w_0.01_meta-w_0.01_pre-1', run_name='CIFAR100__comp_NewBoundSeeger_ntr_9_nte_10_task-w_0.01_meta-w_0.01_pre-1', seed=1, task_complex_w=0.01, test_batch_size=128)
--------------------------------------------------
--- Generating 9 training-tasks
Stochastic-CIFARNet
---- Meta-Training set: 9 tasks
Run finished at:  2019-05-03 18:32:58
MaxPosterior Average Test Error: 21.3%	 Runtime: 1153.3646618127823 [sec]
Trained prior saved in saved_epoch/CIFAR100__comp_NewBoundSeeger_ntr_9_nte_10_task-w_0.01_meta-w_0.01_pre-1/model.pt
---- Generating 10 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
---------------------Test on Epoch_0------------------------
Meta-Testing task 1 out of 10...
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 2.274 	  Acc: 0.25	 Empiric Loss: 2.27	 Intra-Comp. 0.3938
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 0.6144 	  Acc: 0.75	 Empiric Loss: 0.6121	 Intra-Comp. 0.2293
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 0.5924 	  Acc: 0.75	 Empiric Loss: 0.5902	 Intra-Comp. 0.2261
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 0.3357 	  Acc: 0.875	 Empiric Loss: 0.3339	 Intra-Comp. 0.1829
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 0.09256 	  Acc: 1.0	 Empiric Loss: 0.09135	 Intra-Comp. 0.1203
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.05789 	  Acc: 1.0	 Empiric Loss: 0.05683	 Intra-Comp. 0.1058
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 0.05532 	  Acc: 1.0	 Empiric Loss: 0.05428	 Intra-Comp. 0.1045
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.01159 	  Acc: 1.0	 Empiric Loss: 0.01083	 Intra-Comp. 0.07525
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.03119 	  Acc: 1.0	 Empiric Loss: 0.03028	 Intra-Comp. 0.09113
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.03456 	  Acc: 1.0	 Empiric Loss: 0.03362	 Intra-Comp. 0.09325
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.03712 	  Acc: 1.0	 Empiric Loss: 0.03617	 Intra-Comp. 0.0948
(27.5%)	Epoch: 11 	 Batch: 0 	 Objective: 0.008809 	  Acc: 1.0	 Empiric Loss: 0.008089	 Intra-Comp. 0.07203
(30.0%)	Epoch: 12 	 Batch: 0 	 Objective: 0.01021 	  Acc: 1.0	 Empiric Loss: 0.00947	 Intra-Comp. 0.07371
(32.5%)	Epoch: 13 	 Batch: 0 	 Objective: 0.01008 	  Acc: 1.0	 Empiric Loss: 0.009346	 Intra-Comp. 0.07356
(35.0%)	Epoch: 14 	 Batch: 0 	 Objective: 0.007697 	  Acc: 1.0	 Empiric Loss: 0.006991	 Intra-Comp. 0.0706
(37.5%)	Epoch: 15 	 Batch: 0 	 Objective: 0.00775 	  Acc: 1.0	 Empiric Loss: 0.007043	 Intra-Comp. 0.07067
(40.0%)	Epoch: 16 	 Batch: 0 	 Objective: 0.004251 	  Acc: 1.0	 Empiric Loss: 0.003599	 Intra-Comp. 0.06523
(42.5%)	Epoch: 17 	 Batch: 0 	 Objective: 0.006251 	  Acc: 1.0	 Empiric Loss: 0.005565	 Intra-Comp. 0.06855
(45.0%)	Epoch: 18 	 Batch: 0 	 Objective: 0.007014 	  Acc: 1.0	 Empiric Loss: 0.006318	 Intra-Comp. 0.06966
(47.5%)	Epoch: 19 	 Batch: 0 	 Objective: 0.003101 	  Acc: 1.0	 Empiric Loss: 0.002472	 Intra-Comp. 0.0629
(50.0%)	Epoch: 20 	 Batch: 0 	 Objective: 0.003866 	  Acc: 1.0	 Empiric Loss: 0.003221	 Intra-Comp. 0.06449
(52.5%)	Epoch: 21 	 Batch: 0 	 Objective: 0.005091 	  Acc: 1.0	 Empiric Loss: 0.004424	 Intra-Comp. 0.06671
(55.0%)	Epoch: 22 	 Batch: 0 	 Objective: 0.003908 	  Acc: 1.0	 Empiric Loss: 0.003262	 Intra-Comp. 0.06458
(57.5%)	Epoch: 23 	 Batch: 0 	 Objective: 0.002672 	  Acc: 1.0	 Empiric Loss: 0.002053	 Intra-Comp. 0.06189
(60.0%)	Epoch: 24 	 Batch: 0 	 Objective: 0.002259 	  Acc: 1.0	 Empiric Loss: 0.001651	 Intra-Comp. 0.06083
