Log file created at  2019-05-03 19:05:54
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=50, K_Shot_MetaTrain=50, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='PAC_Bayes_Pentina', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='CIFAR100', data_transform='None', from_pretrain=1, limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.01, mode='MetaTrain', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=10, n_train_tasks=15, result_dir='saved_epoch/CIFAR100__comp_PAC_Bayes_Pentina_ntr_15_nte_10_task-w_0.01_meta-w_0.01_pre-1', run_name='CIFAR100__comp_PAC_Bayes_Pentina_ntr_15_nte_10_task-w_0.01_meta-w_0.01_pre-1', seed=1, task_complex_w=0.01, test_batch_size=128)
--------------------------------------------------
--- Generating 15 training-tasks
Stochastic-CIFARNet
---- Meta-Training set: 15 tasks
Run finished at:  2019-05-03 19:34:39
MaxPosterior Average Test Error: 23.3%	 Runtime: 1687.0498308585957 [sec]
Trained prior saved in saved_epoch/CIFAR100__comp_PAC_Bayes_Pentina_ntr_15_nte_10_task-w_0.01_meta-w_0.01_pre-1/model.pt
---- Generating 10 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
---------------------Test on Epoch_0------------------------
Meta-Testing task 1 out of 10...
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 2.909 	  Acc: 0.0	 Empiric Loss: 2.909	 Intra-Comp. 0.0
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 0.663 	  Acc: 0.875	 Empiric Loss: 0.663	 Intra-Comp. 1.008e-05
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 0.5402 	  Acc: 0.938	 Empiric Loss: 0.5402	 Intra-Comp. 1.536e-05
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 0.4955 	  Acc: 0.812	 Empiric Loss: 0.4955	 Intra-Comp. 1.864e-05
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 0.1345 	  Acc: 0.938	 Empiric Loss: 0.1345	 Intra-Comp. 2.08e-05
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.1339 	  Acc: 1.0	 Empiric Loss: 0.1339	 Intra-Comp. 2.354e-05
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 0.1719 	  Acc: 0.938	 Empiric Loss: 0.1719	 Intra-Comp. 2.6e-05
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.1002 	  Acc: 1.0	 Empiric Loss: 0.1002	 Intra-Comp. 2.899e-05
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.08899 	  Acc: 1.0	 Empiric Loss: 0.08899	 Intra-Comp. 3.149e-05
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.06912 	  Acc: 1.0	 Empiric Loss: 0.06912	 Intra-Comp. 3.383e-05
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.02282 	  Acc: 1.0	 Empiric Loss: 0.02282	 Intra-Comp. 3.616e-05
(27.5%)	Epoch: 11 	 Batch: 0 	 Objective: 0.0328 	  Acc: 1.0	 Empiric Loss: 0.03279	 Intra-Comp. 3.777e-05
(30.0%)	Epoch: 12 	 Batch: 0 	 Objective: 0.01068 	  Acc: 1.0	 Empiric Loss: 0.01068	 Intra-Comp. 3.929e-05
(32.5%)	Epoch: 13 	 Batch: 0 	 Objective: 0.01677 	  Acc: 1.0	 Empiric Loss: 0.01677	 Intra-Comp. 4.098e-05
(35.0%)	Epoch: 14 	 Batch: 0 	 Objective: 0.01318 	  Acc: 1.0	 Empiric Loss: 0.01318	 Intra-Comp. 4.206e-05
(37.5%)	Epoch: 15 	 Batch: 0 	 Objective: 0.008186 	  Acc: 1.0	 Empiric Loss: 0.008185	 Intra-Comp. 4.318e-05
(40.0%)	Epoch: 16 	 Batch: 0 	 Objective: 0.01549 	  Acc: 1.0	 Empiric Loss: 0.01549	 Intra-Comp. 4.419e-05
(42.5%)	Epoch: 17 	 Batch: 0 	 Objective: 0.009067 	  Acc: 1.0	 Empiric Loss: 0.009066	 Intra-Comp. 4.511e-05
(45.0%)	Epoch: 18 	 Batch: 0 	 Objective: 0.008042 	  Acc: 1.0	 Empiric Loss: 0.008041	 Intra-Comp. 4.603e-05
(47.5%)	Epoch: 19 	 Batch: 0 	 Objective: 0.007061 	  Acc: 1.0	 Empiric Loss: 0.007061	 Intra-Comp. 4.678e-05
(50.0%)	Epoch: 20 	 Batch: 0 	 Objective: 0.004236 	  Acc: 1.0	 Empiric Loss: 0.004236	 Intra-Comp. 4.754e-05
(52.5%)	Epoch: 21 	 Batch: 0 	 Objective: 0.00648 	  Acc: 1.0	 Empiric Loss: 0.00648	 Intra-Comp. 4.835e-05
(55.0%)	Epoch: 22 	 Batch: 0 	 Objective: 0.005977 	  Acc: 1.0	 Empiric Loss: 0.005977	 Intra-Comp. 4.892e-05
(57.5%)	Epoch: 23 	 Batch: 0 	 Objective: 0.003581 	  Acc: 1.0	 Empiric Loss: 0.00358	 Intra-Comp. 4.969e-05
(60.0%)	Epoch: 24 	 Batch: 0 	 Objective: 0.003529 	  Acc: 1.0	 Empiric Loss: 0.003529	 Intra-Comp. 5.029e-05
(62.5%)	Epoch: 25 	 Batch: 0 	 Objective: 0.003812 	  Acc: 1.0	 Empiric Loss: 0.003811	 Intra-Comp. 5.091e-05
(65.0%)	Epoch: 26 	 Batch: 0 	 Objective: 0.003324 	  Acc: 1.0	 Empiric Loss: 0.003323	 Intra-Comp. 5.146e-05
