Log file created at  2019-05-08 16:59:29
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=50, K_Shot_MetaTrain=50, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='NewBoundSeeger', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='Caltech256', data_transform='None', from_pretrain=None, limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.01, mode='MetaTrain', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=10, n_train_tasks=15, result_dir='saved_epoch/Caltech256__comp_NewBoundSeeger_ntr_15_nte_10_task-w_0.01_meta-w_0.01', run_name='Caltech256__comp_NewBoundSeeger_ntr_15_nte_10_task-w_0.01_meta-w_0.01', seed=1, task_complex_w=0.01, test_batch_size=128)
--------------------------------------------------
--- Generating 15 training-tasks
Stochastic-CIFARNet
---- Meta-Training set: 15 tasks
Run finished at:  2019-05-08 20:54:52
MaxPosterior Average Test Error: 39.4%	 Runtime: 13965.488547097892 [sec]
Trained prior saved in saved_epoch/Caltech256__comp_NewBoundSeeger_ntr_15_nte_10_task-w_0.01_meta-w_0.01/model.pt
---- Generating 10 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
---------------------Test on Epoch_0------------------------
Meta-Testing task 1 out of 10...
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.628 	  Acc: 0.188	 Empiric Loss: 1.624	 Intra-Comp. 0.3411
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 1.48 	  Acc: 0.312	 Empiric Loss: 1.477	 Intra-Comp. 0.3277
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 1.26 	  Acc: 0.5	 Empiric Loss: 1.257	 Intra-Comp. 0.3062
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 0.9757 	  Acc: 0.625	 Empiric Loss: 0.9729	 Intra-Comp. 0.2757
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 0.8032 	  Acc: 0.75	 Empiric Loss: 0.8007	 Intra-Comp. 0.2549
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.6368 	  Acc: 0.75	 Empiric Loss: 0.6345	 Intra-Comp. 0.2325
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 0.3697 	  Acc: 0.875	 Empiric Loss: 0.3678	 Intra-Comp. 0.1894
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.3169 	  Acc: 0.938	 Empiric Loss: 0.3151	 Intra-Comp. 0.1791
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.476 	  Acc: 0.875	 Empiric Loss: 0.4739	 Intra-Comp. 0.208
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.1281 	  Acc: 1.0	 Empiric Loss: 0.1268	 Intra-Comp. 0.1325
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.1468 	  Acc: 0.938	 Empiric Loss: 0.1454	 Intra-Comp. 0.1382
