Log file created at  2019-05-09 12:52:09
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=50, K_Shot_MetaTrain=50, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='NewBoundSeeger', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='Caltech256', data_transform='None', from_pretrain=1, limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.01, mode='MetaTrain', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=10, n_train_tasks=1, result_dir='saved_epoch/Caltech256__comp_NewBoundSeeger_ntr_1_nte_10_task-w_0.01_meta-w_0.01_pre-1', run_name='Caltech256__comp_NewBoundSeeger_ntr_1_nte_10_task-w_0.01_meta-w_0.01_pre-1', seed=1, task_complex_w=0.01, test_batch_size=128)
--------------------------------------------------
--- Generating 1 training-tasks
load pretrained frompretrained_caltech256/epoch-7-acc0.303.pth
Stochastic-CIFARNet
---- Meta-Training set: 1 tasks
Run finished at:  2019-05-09 12:55:27
MaxPosterior Average Test Error: 42.4%	 Runtime: 190.24853555299342 [sec]
Trained prior saved in saved_epoch/Caltech256__comp_NewBoundSeeger_ntr_1_nte_10_task-w_0.01_meta-w_0.01_pre-1/model.pt
---- Generating 10 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
---------------------Test on Epoch_0------------------------
Meta-Testing task 1 out of 10...
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 2.26 	  Acc: 0.125	 Empiric Loss: 2.256	 Intra-Comp. 0.3928
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 1.194 	  Acc: 0.562	 Empiric Loss: 1.191	 Intra-Comp. 0.2995
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 0.3989 	  Acc: 0.938	 Empiric Loss: 0.3969	 Intra-Comp. 0.1947
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 0.5716 	  Acc: 0.812	 Empiric Loss: 0.5694	 Intra-Comp. 0.223
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 0.2335 	  Acc: 1.0	 Empiric Loss: 0.2319	 Intra-Comp. 0.161
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.2373 	  Acc: 0.875	 Empiric Loss: 0.2357	 Intra-Comp. 0.1619
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 0.07204 	  Acc: 1.0	 Empiric Loss: 0.07092	 Intra-Comp. 0.1121
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.0596 	  Acc: 1.0	 Empiric Loss: 0.05853	 Intra-Comp. 0.1066
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.1234 	  Acc: 0.938	 Empiric Loss: 0.1221	 Intra-Comp. 0.131
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.03168 	  Acc: 1.0	 Empiric Loss: 0.03076	 Intra-Comp. 0.09144
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.02201 	  Acc: 1.0	 Empiric Loss: 0.02116	 Intra-Comp. 0.08464
(27.5%)	Epoch: 11 	 Batch: 0 	 Objective: 0.02062 	  Acc: 1.0	 Empiric Loss: 0.01978	 Intra-Comp. 0.08355
