Log file created at  2019-05-09 01:36:52
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=50, K_Shot_MetaTrain=50, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='PAC_Bayes_Pentina', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='Caltech256', data_transform='None', from_pretrain=None, limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.01, mode='MetaTrain', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=10, n_train_tasks=3, result_dir='saved_epoch/Caltech256__comp_PAC_Bayes_Pentina_ntr_3_nte_10_task-w_0.01_meta-w_0.01', run_name='Caltech256__comp_PAC_Bayes_Pentina_ntr_3_nte_10_task-w_0.01_meta-w_0.01', seed=1, task_complex_w=0.01, test_batch_size=128)
--------------------------------------------------
--- Generating 3 training-tasks
Stochastic-CIFARNet
---- Meta-Training set: 3 tasks
Run finished at:  2019-05-09 02:17:16
MaxPosterior Average Test Error: 46.7%	 Runtime: 2368.0116774709895 [sec]
Trained prior saved in saved_epoch/Caltech256__comp_PAC_Bayes_Pentina_ntr_3_nte_10_task-w_0.01_meta-w_0.01/model.pt
---- Generating 10 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
---------------------Test on Epoch_0------------------------
Meta-Testing task 1 out of 10...
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.595 	  Acc: 0.312	 Empiric Loss: 1.595	 Intra-Comp. 0.0
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 1.054 	  Acc: 0.75	 Empiric Loss: 1.054	 Intra-Comp. 7.912e-06
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 0.8904 	  Acc: 0.688	 Empiric Loss: 0.8904	 Intra-Comp. 1.886e-05
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 1.024 	  Acc: 0.75	 Empiric Loss: 1.024	 Intra-Comp. 3.15e-05
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 0.6506 	  Acc: 0.688	 Empiric Loss: 0.6506	 Intra-Comp. 4.576e-05
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.2622 	  Acc: 0.938	 Empiric Loss: 0.2622	 Intra-Comp. 5.857e-05
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 0.2435 	  Acc: 0.875	 Empiric Loss: 0.2435	 Intra-Comp. 6.866e-05
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.2578 	  Acc: 0.938	 Empiric Loss: 0.2578	 Intra-Comp. 7.721e-05
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.2048 	  Acc: 1.0	 Empiric Loss: 0.2048	 Intra-Comp. 8.829e-05
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.06548 	  Acc: 1.0	 Empiric Loss: 0.06548	 Intra-Comp. 9.588e-05
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.1274 	  Acc: 1.0	 Empiric Loss: 0.1274	 Intra-Comp. 0.000104
(27.5%)	Epoch: 11 	 Batch: 0 	 Objective: 0.1039 	  Acc: 0.938	 Empiric Loss: 0.1039	 Intra-Comp. 0.0001145
(30.0%)	Epoch: 12 	 Batch: 0 	 Objective: 0.03265 	  Acc: 1.0	 Empiric Loss: 0.03265	 Intra-Comp. 0.0001182
(32.5%)	Epoch: 13 	 Batch: 0 	 Objective: 0.02117 	  Acc: 1.0	 Empiric Loss: 0.02117	 Intra-Comp. 0.0001239
(35.0%)	Epoch: 14 	 Batch: 0 	 Objective: 0.01176 	  Acc: 1.0	 Empiric Loss: 0.01176	 Intra-Comp. 0.0001298
(37.5%)	Epoch: 15 	 Batch: 0 	 Objective: 0.04842 	  Acc: 1.0	 Empiric Loss: 0.04842	 Intra-Comp. 0.0001323
(40.0%)	Epoch: 16 	 Batch: 0 	 Objective: 0.003978 	  Acc: 1.0	 Empiric Loss: 0.003976	 Intra-Comp. 0.0001365
(42.5%)	Epoch: 17 	 Batch: 0 	 Objective: 0.003002 	  Acc: 1.0	 Empiric Loss: 0.003001	 Intra-Comp. 0.0001383
(45.0%)	Epoch: 18 	 Batch: 0 	 Objective: 0.005435 	  Acc: 1.0	 Empiric Loss: 0.005433	 Intra-Comp. 0.0001396
(47.5%)	Epoch: 19 	 Batch: 0 	 Objective: 0.002268 	  Acc: 1.0	 Empiric Loss: 0.002266	 Intra-Comp. 0.0001405
(50.0%)	Epoch: 20 	 Batch: 0 	 Objective: 0.002735 	  Acc: 1.0	 Empiric Loss: 0.002733	 Intra-Comp. 0.0001414
(52.5%)	Epoch: 21 	 Batch: 0 	 Objective: 0.003062 	  Acc: 1.0	 Empiric Loss: 0.00306	 Intra-Comp. 0.0001419
